x,y,action_density
7.070707070707070940e+00,1.010101010101010083e-01,3.549325335073195697e-01
7.171717171717171269e+00,1.010101010101010083e-01,3.428532992575966665e-01
7.272727272727272485e+00,1.010101010101010083e-01,3.269415991476797845e-01
7.373737373737373701e+00,1.010101010101010083e-01,3.076593692010000103e-01
7.474747474747474918e+00,1.010101010101010083e-01,2.856162578097249383e-01
7.575757575757575246e+00,1.010101010101010083e-01,2.615259289694512046e-01
7.676767676767676463e+00,1.010101010101010083e-01,2.361565437657056898e-01
7.777777777777777679e+00,1.010101010101010083e-01,2.102803262506181547e-01
7.878787878787878896e+00,1.010101010101010083e-01,1.846268724601567990e-01
7.979797979797979224e+00,1.010101010101010083e-01,1.598440734456719192e-01
8.080808080808081328e+00,1.010101010101010083e-01,1.364693468343069482e-01
8.181818181818181657e+00,1.010101010101010083e-01,1.149125019111266605e-01
8.282828282828281985e+00,1.010101010101010083e-01,9.545020329013205462e-02
8.383838383838384090e+00,1.010101010101010083e-01,7.823082476098780491e-02
8.484848484848484418e+00,1.010101010101010083e-01,6.328762397990599087e-02
8.585858585858586522e+00,1.010101010101010083e-01,5.055768295889681574e-02
8.686868686868686851e+00,1.010101010101010083e-01,3.990394796624650159e-02
8.787878787878787179e+00,1.010101010101010083e-01,3.113791195571313092e-02
8.888888888888889284e+00,1.010101010101010083e-01,2.404092455021979852e-02
8.989898989898989612e+00,1.010101010101010083e-01,1.838268585392490925e-02
9.090909090909089940e+00,1.010101010101010083e-01,1.393608193865331774e-02
9.191919191919192045e+00,1.010101010101010083e-01,1.048807082219558109e-02
9.292929292929292373e+00,1.010101010101010083e-01,7.846773229340246042e-03
9.393939393939394478e+00,1.010101010101010083e-01,5.845235368642837451e-03
9.494949494949494806e+00,1.010101010101010083e-01,4.342509095211122445e-03
9.595959595959595134e+00,1.010101010101010083e-01,3.222754393846025221e-03
9.696969696969697239e+00,1.010101010101010083e-01,2.393037353780226237e-03
9.797979797979797567e+00,1.010101010101010083e-01,1.780404870798417503e-03
9.898989898989899672e+00,1.010101010101010083e-01,1.328694641483327884e-03
1.000000000000000000e+01,1.010101010101010083e-01,9.954096827763359544e-04
0.000000000000000000e+00,2.020202020202020166e-01,1.318207455387764883e-03
1.010101010101010083e-01,2.020202020202020166e-01,1.780404870798415118e-03
2.020202020202020166e-01,2.020202020202020166e-01,2.414962461738060645e-03
3.030303030303030387e-01,2.020202020202020166e-01,3.286015529949405309e-03
4.040404040404040331e-01,2.020202020202020166e-01,4.478764003356562953e-03
5.050505050505050830e-01,2.020202020202020166e-01,6.104344500725227170e-03
6.060606060606060774e-01,2.020202020202020166e-01,8.304806773579403306e-03
7.070707070707070718e-01,2.020202020202020166e-01,1.125767988485853327e-02
8.080808080808080662e-01,2.020202020202020166e-01,1.517941091146682991e-02
9.090909090909090606e-01,2.020202020202020166e-01,2.032676679983889956e-02
1.010101010101010166e+00,2.020202020202020166e-01,2.699514598840036320e-02
1.111111111111111160e+00,2.020202020202020166e-01,3.551269667125124541e-02
1.212121212121212155e+00,2.020202020202020166e-01,4.622923193946869291e-02
1.313131313131313149e+00,2.020202020202020166e-01,5.949921119898270161e-02
1.414141414141414144e+00,2.020202020202020166e-01,7.565854766051621771e-02
1.515151515151515138e+00,2.020202020202020166e-01,9.499569975365719510e-02
1.616161616161616132e+00,2.020202020202020166e-01,1.177183676489758357e-01
1.717171717171717127e+00,2.020202020202020166e-01,1.439180586170416276e-01
1.818181818181818121e+00,2.020202020202020166e-01,1.735356798529767430e-01
1.919191919191919116e+00,2.020202020202020166e-01,2.063320094366683510e-01
2.020202020202020332e+00,2.020202020202020166e-01,2.418672237293653382e-01
2.121212121212121104e+00,2.020202020202020166e-01,2.794934841021317062e-01
2.222222222222222321e+00,2.020202020202020166e-01,3.183638235670595562e-01
2.323232323232323093e+00,2.020202020202020166e-01,3.574592233685617293e-01
2.424242424242424310e+00,2.020202020202020166e-01,3.956339291285371207e-01
2.525252525252525082e+00,2.020202020202020166e-01,4.316769234738638827e-01
2.626262626262626299e+00,2.020202020202020166e-01,4.643853244884385556e-01
2.727272727272727071e+00,2.020202020202020166e-01,4.926436347224006362e-01
2.828282828282828287e+00,2.020202020202020166e-01,5.155015300925829269e-01
2.929292929292929060e+00,2.020202020202020166e-01,5.322424901498170602e-01
3.030303030303030276e+00,2.020202020202020166e-01,5.425944192901308583e-01
3.131313131313131048e+00,2.020202020202020166e-01,5.489218287389889817e-01
3.232323232323232265e+00,2.020202020202020166e-01,5.521611088246474175e-01
3.333333333333333481e+00,2.020202020202020166e-01,5.525348153003207807e-01
3.434343434343434254e+00,2.020202020202020166e-01,5.503903614588352422e-01
